Creperie,2.11%,3.05%,18.60%,3.24%,16.24%,0.49%,22.26%,0.95%,0.12%,3.67%,6.84%,6.33%,27.02%,10.70%,6.18%,18.14%,2.87%,9.19%,14.54%,24.21%,100.00%,6.15%,-0.06%,19.32%,23.13%,-0.06%,4.78%,19.02%,10.86%,7.59%,15.06%,17.40%,7.90%,12.26%,5.08%,11.36%,17.92%,1.55%,9.55%,1.08%,19.09%,17.44%,11.09%,2.32%,11.33%,5.13%,15.65%,16.37%,9.34%,22.23%,5.92%,2.55%,19.09%,13.01%,5.94%,6.10%,4.47%,5.31%,2.81%,16.26%,13.69%,12.25%,13.35%,9.65%,14.22%,2.03%,2.99%,14.68%,11.57%
Cuban,2.40%,2.20%,15.49%,8.68%,7.72%,0.46%,14.57%,0.49%,0.20%,4.46%,2.40%,11.82%,17.43%,8.45%,14.51%,12.81%,1.44%,48.47%,11.07%,7.26%,6.15%,100.00%,3.53%,15.82%,12.41%,2.90%,5.51%,17.01%,10.37%,5.02%,12.27%,8.49%,7.01%,9.59%,6.41%,10.36%,16.27%,0.75%,8.39%,0.15%,12.17%,8.89%,7.04%,4.16%,22.90%,4.61%,10.96%,38.21%,8.44%,15.75%,5.03%,7.12%,13.75%,7.82%,6.98%,4.76%,18.31%,4.95%,3.39%,17.00%,13.11%,11.09%,13.36%,6.35%,8.55%,3.01%,5.92%,13.22%,6.93%
Czech,11.59%,5.97%,26.32%,1.27%,5.75%,0.34%,-0.09%,5.63%,-0.01%,40.00%,-0.03%,2.57%,-0.10%,36.37%,-0.09%,0.24%,2.99%,3.65%,4.89%,-0.09%,-0.06%,3.53%,100.00%,-0.11%,-0.11%,91.06%,10.27%,0.06%,-0.08%,2.29%,-0.06%,37.96%,48.66%,30.98%,17.91%,1.10%,-0.13%,6.93%,8.46%,3.81%,37.54%,2.99%,4.12%,25.50%,2.68%,2.56%,29.00%,2.25%,17.90%,-0.14%,7.06%,23.07%,0.15%,36.80%,10.44%,17.56%,1.56%,42.57%,29.78%,-0.08%,26.21%,28.78%,26.21%,-0.04%,3.56%,28.31%,35.05%,-0.11%,3.77%
Delis,5.40%,10.28%,69.18%,10.03%,44.61%,1.22%,51.85%,3.34%,4.14%,1.59%,19.52%,14.85%,67.84%,39.73%,24.64%,46.05%,7.92%,25.03%,48.12%,46.50%,19.32%,15.82%,-0.11%,100.00%,46.79%,-0.11%,11.04%,76.47%,42.59%,16.93%,36.21%,26.55%,19.16%,43.00%,16.85%,29.48%,60.40%,4.23%,28.97%,1.41%,63.78%,44.01%,24.55%,8.05%,32.91%,11.47%,48.16%,66.21%,30.79%,62.82%,21.38%,5.43%,64.59%,20.94%,20.97%,14.77%,10.25%,14.46%,2.74%,43.95%,46.15%,26.58%,39.55%,19.96%,40.46%,12.05%,4.79%,44.25%,31.21%
Dessert,4.02%,7.52%,46.86%,8.08%,34.08%,0.59%,39.40%,1.89%,1.34%,1.89%,10.10%,12.72%,44.79%,20.85%,20.83%,36.29%,4.11%,16.50%,36.46%,28.48%,23.13%,12.41%,-0.11%,46.79%,100.00%,-0.11%,9.65%,48.45%,27.55%,14.05%,28.99%,24.37%,12.70%,25.76%,12.17%,25.04%,37.78%,3.16%,19.92%,2.33%,43.05%,34.23%,22.10%,5.15%,21.14%,10.57%,31.39%,40.15%,19.92%,42.13%,13.41%,4.51%,36.39%,14.72%,13.68%,10.25%,7.96%,8.84%,2.86%,34.66%,30.69%,22.34%,32.26%,12.12%,29.10%,4.27%,4.35%,28.22%,24.33%
Eastern_European,13.68%,6.99%,21.78%,1.17%,6.47%,0.40%,-0.09%,6.58%,-0.01%,33.06%,-0.03%,2.35%,-0.10%,30.04%,-0.09%,0.24%,3.48%,3.02%,5.28%,-0.09%,-0.06%,2.90%,91.06%,-0.11%,-0.11%,100.00%,12.28%,0.06%,-0.08%,2.58%,-0.06%,31.84%,41.12%,36.52%,21.82%,0.97%,-0.13%,8.11%,10.00%,4.15%,37.67%,3.10%,4.36%,30.87%,2.32%,3.04%,32.31%,1.84%,21.80%,-0.14%,7.57%,21.09%,0.15%,32.70%,12.28%,21.16%,1.33%,41.58%,31.57%,-0.08%,21.67%,25.61%,21.67%,-0.04%,4.15%,34.49%,39.42%,-0.11%,4.31%
Ethiopian,15.32%,31.10%,12.10%,3.62%,12.14%,1.03%,10.62%,8.45%,1.31%,9.15%,3.29%,4.03%,11.40%,11.24%,5.19%,8.81%,7.31%,4.97%,11.21%,7.31%,4.78%,5.51%,10.27%,11.04%,9.65%,12.28%,100.00%,10.62%,5.16%,6.58%,13.82%,12.01%,11.90%,21.45%,28.29%,6.24%,13.10%,10.59%,19.45%,5.09%,18.04%,9.98%,9.23%,22.93%,6.34%,8.44%,22.93%,6.75%,31.66%,13.31%,6.47%,11.12%,12.46%,12.01%,16.56%,21.75%,4.06%,11.62%,11.72%,12.89%,11.32%,14.24%,10.66%,5.25%,13.75%,18.20%,13.38%,20.92%,11.91%
Fast_Food,5.69%,9.66%,76.84%,9.84%,46.16%,1.14%,45.38%,2.30%,3.10%,2.84%,12.14%,17.88%,64.63%,34.36%,33.52%,43.08%,6.20%,25.01%,55.09%,36.08%,19.02%,17.01%,0.06%,76.47%,48.45%,0.06%,10.62%,100.00%,48.63%,18.71%,41.45%,23.66%,20.11%,44.78%,20.46%,34.29%,60.34%,3.81%,32.25%,1.66%,68.52%,46.43%,27.19%,8.24%,30.52%,11.79%,49.02%,72.73%,32.76%,62.02%,22.96%,6.81%,62.22%,19.94%,25.56%,16.05%,10.26%,13.39%,3.71%,47.21%,48.33%,28.45%,43.75%,15.52%,41.95%,7.62%,5.96%,40.09%,31.61%
Fast_Truck,3.21%,4.89%,44.57%,6.05%,27.80%,1.19%,26.25%,-0.09%,1.92%,0.30%,2.49%,8.20%,36.02%,17.06%,20.88%,23.48%,5.06%,15.84%,33.50%,16.41%,10.86%,10.37%,-0.08%,42.59%,27.55%,-0.08%,5.16%,48.63%,100.00%,12.87%,29.42%,12.53%,13.32%,28.35%,14.36%,20.04%,35.88%,0.76%,15.81%,0.58%,36.14%,25.25%,18.23%,3.59%,20.03%,6.47%,28.75%,41.64%,20.28%,33.00%,14.24%,3.22%,31.50%,13.12%,13.65%,9.86%,6.01%,11.65%,1.56%,26.42%,26.62%,13.54%,23.92%,7.52%,21.94%,1.83%,2.47%,20.70%,19.34%
Filipino,9.25%,3.74%,10.97%,4.68%,30.65%,7.05%,16.88%,17.74%,-0.10%,1.97%,2.16%,3.50%,15.43%,4.82%,11.99%,15.28%,30.10%,5.11%,32.33%,9.50%,7.59%,5.02%,2.29%,16.93%,14.05%,2.58%,6.58%,18.71%,12.87%,100.00%,21.55%,5.36%,4.29%,8.52%,7.30%,17.11%,15.48%,15.13%,16.68%,21.20%,8.54%,32.27%,33.37%,4.15%,5.03%,28.31%,8.31%,7.65%,9.44%,13.59%,17.70%,2.15%,11.69%,6.31%,12.76%,8.15%,2.63%,4.28%,4.40%,17.88%,7.79%,6.82%,7.12%,5.93%,33.92%,4.01%,3.67%,11.31%,39.67%
